# dft_x model_x dft_y model_y dft_z model_z diff_x diff_y diff_z
-0.027925 -0.023406 0.047411 0.030843 0.162186 0.171512 0.004519 0.016568 0.009326
0.160952 0.164496 0.054294 0.030672 -0.014237 -0.025013 0.003543 0.023622 0.010776
0.366875 0.373565 -0.095222 -0.120934 0.280012 0.294730 0.006690 0.025713 0.014718
0.363875 0.349125 0.144560 0.128196 0.023390 0.028801 0.014750 0.016365 0.005411
-0.315761 -0.304810 0.296706 0.303453 0.136079 0.128102 0.010951 0.006748 0.007977
-0.430707 -0.396818 0.039079 -0.021489 0.252806 0.260496 0.033889 0.060568 0.007690
-0.303222 -0.292031 0.261897 0.241199 0.243982 0.199744 0.011191 0.020698 0.044239
0.090445 0.105782 0.027447 0.033993 0.288858 0.297247 0.015337 0.006546 0.008389
-0.150356 -0.168419 0.041239 0.049117 -0.138624 -0.146842 0.018064 0.007878 0.008218
-0.174121 -0.159393 -0.138867 -0.138807 -0.174690 -0.183965 0.014728 0.000060 0.009275
-0.210854 -0.207407 0.347916 0.356382 -0.027338 -0.033471 0.003448 0.008466 0.006134
-0.558879 -0.555323 -0.127752 -0.134054 0.307529 0.304158 0.003556 0.006302 0.003371
0.030949 0.029572 -0.117397 -0.119315 -0.297648 -0.274596 0.001377 0.001919 0.023052
-0.246983 -0.244697 -0.314216 -0.319987 0.082886 0.088793 0.002285 0.005771 0.005908
