atom_id_ref,layer,component,ΔBEC_xx,x,y,ΔBEC_xy,ΔBEC_xz,ΔBEC_yx,ΔBEC_yy,ΔBEC_yz,ΔBEC_zx,ΔBEC_zy,ΔBEC_zz
29565,A,xx,-0.17176999999999998,32.7501,40.456,,,,,,,,
30045,A,xx,0.7021200000000003,36.603,40.456,,,,,,,,
28137,A,xx,-0.18279999999999985,21.1912,44.3089,,,,,,,,
28149,A,xx,0.7066699999999999,21.1912,48.1619,,,,,,,,
28617,A,xx,0.6934499999999999,25.0442,44.3089,,,,,,,,
28629,A,xx,-0.20553,25.0442,48.1619,,,,,,,,
29097,A,xx,-0.1791999999999998,28.8971,44.3089,,,,,,,,
29109,A,xx,0.7065900000000003,28.8971,48.1619,,,,,,,,
29577,A,xx,0.69598,32.7501,44.3089,,,,,,,,
29589,A,xx,-0.2026699999999999,32.7501,48.1619,,,,,,,,
30057,A,xx,-0.1744699999999999,36.603,44.3089,,,,,,,,
30069,A,xx,0.71082,36.603,48.1619,,,,,,,,
28161,A,xx,-0.3163199999999997,21.1912,52.0148,,,,,,,,
28641,A,xx,0.3378000000000001,25.0442,52.0148,,,,,,,,
29121,A,xx,-0.31923999999999975,28.8971,52.0148,,,,,,,,
29601,A,xx,0.32948999999999984,32.7501,52.0148,,,,,,,,
30081,A,xx,-0.32226,36.603,52.0148,,,,,,,,
28173,A,xx,0.754,21.1912,55.8678,,,,,,,,
28653,A,xx,-0.3057099999999999,25.0442,55.8678,,,,,,,,
29133,A,xx,0.7579800000000003,28.8971,55.8678,,,,,,,,
29613,A,xx,-0.30242999999999975,32.7501,55.8678,,,,,,,,
30093,A,xx,0.7670400000000002,36.603,55.8678,,,,,,,,
28185,A,xx,-0.2175499999999997,21.1912,59.7207,,,,,,,,
28665,A,xx,0.6653700000000002,25.0442,59.7207,,,,,,,,
29145,A,xx,-0.2152400000000001,28.8971,59.7207,,,,,,,,
29625,A,xx,0.6669499999999999,32.7501,59.7207,,,,,,,,
30105,A,xx,-0.21143,36.603,59.7207,,,,,,,,
28197,A,xx,0.71068,21.1912,63.5737,,,,,,,,
28677,A,xx,-0.21083000000000007,25.0442,63.5737,,,,,,,,
29157,A,xx,0.7119900000000001,28.8971,63.5737,,,,,,,,
29637,A,xx,-0.20976000000000017,32.7501,63.5737,,,,,,,,
30117,A,xx,0.7191200000000002,36.603,63.5737,,,,,,,,
28209,A,xx,-0.21338999999999997,21.1912,67.4266,,,,,,,,
28221,A,xx,0.30652999999999997,21.1912,71.2796,,,,,,,,
28689,A,xx,0.7025100000000002,25.0442,67.4266,,,,,,,,
28701,A,xx,-0.30825999999999976,25.0442,71.2796,,,,,,,,
29169,A,xx,-0.2137699999999998,28.8971,67.4266,,,,,,,,
29181,A,xx,0.31621999999999995,28.8971,71.2796,,,,,,,,
29649,A,xx,0.6998899999999999,32.7501,67.4266,,,,,,,,
29661,A,xx,-0.30256000000000016,32.7501,71.2796,,,,,,,,
30129,A,xx,-0.21091999999999977,36.603,67.4266,,,,,,,,
30141,A,xx,0.3248899999999999,36.603,71.2796,,,,,,,,
28233,A,xx,-0.29137999999999975,21.1912,75.1325,,,,,,,,
28713,A,xx,0.7214700000000001,25.0442,75.1325,,,,,,,,
29193,A,xx,-0.2915099999999997,28.8971,75.1325,,,,,,,,
29673,A,xx,0.7145000000000001,32.7501,75.1325,,,,,,,,
30153,A,xx,-0.2909799999999998,36.603,75.1325,,,,,,,,
28245,A,xx,0.6659999999999999,21.1912,78.9855,,,,,,,,
28725,A,xx,-0.19585000000000008,25.0442,78.9855,,,,,,,,
29205,A,xx,0.6632899999999999,28.8971,78.9855,,,,,,,,
29685,A,xx,-0.20093000000000005,32.7501,78.9855,,,,,,,,
30165,A,xx,0.65801,36.603,78.9855,,,,,,,,
28257,A,xx,-0.18680999999999992,21.1912,82.8384,,,,,,,,
28737,A,xx,0.7011099999999999,25.0442,82.8384,,,,,,,,
29217,A,xx,-0.18916999999999984,28.8971,82.8384,,,,,,,,
29697,A,xx,0.6969500000000002,32.7501,82.8384,,,,,,,,
30177,A,xx,-0.19324999999999992,36.603,82.8384,,,,,,,,
28269,A,xx,0.6874000000000002,21.1912,86.6914,,,,,,,,
28281,A,xx,-0.1897199999999999,21.1912,90.5443,,,,,,,,
28749,A,xx,-0.18874999999999975,25.0442,86.6914,,,,,,,,
28761,A,xx,0.6883699999999999,25.0442,90.5443,,,,,,,,
29229,A,xx,0.6871700000000001,28.8971,86.6914,,,,,,,,
29241,A,xx,-0.18826999999999972,28.8971,90.5443,,,,,,,,
29709,A,xx,-0.19002000000000008,32.7501,86.6914,,,,,,,,
29721,A,xx,0.6882999999999999,32.7501,90.5443,,,,,,,,
30189,A,xx,0.6849099999999999,36.603,86.6914,,,,,,,,
30201,A,xx,-0.1892100000000001,36.603,90.5443,,,,,,,,
28293,A,xx,0.6861800000000002,21.1912,94.3973,,,,,,,,
28773,A,xx,-0.18843999999999994,25.0442,94.3973,,,,,,,,
29253,A,xx,0.6879,28.8971,94.3973,,,,,,,,
29733,A,xx,-0.18748999999999993,32.7501,94.3973,,,,,,,,
30213,A,xx,0.6890200000000002,36.603,94.3973,,,,,,,,
28305,A,xx,-0.1852100000000001,21.1912,98.2502,,,,,,,,
28785,A,xx,0.6872199999999999,25.0442,98.2502,,,,,,,,
29265,A,xx,-0.18575000000000008,28.8971,98.2502,,,,,,,,
29745,A,xx,0.6891400000000001,32.7501,98.2502,,,,,,,,
30225,A,xx,-0.1856,36.603,98.2502,,,,,,,,
28317,A,xx,0.6909900000000002,21.1912,102.103,,,,,,,,
28797,A,xx,-0.1834699999999998,25.0442,102.103,,,,,,,,
29277,A,xx,0.6923699999999999,28.8971,102.103,,,,,,,,
29757,A,xx,-0.18345999999999973,32.7501,102.103,,,,,,,,
30237,A,xx,0.69319,36.603,102.103,,,,,,,,
28329,A,xx,-0.1819799999999998,21.1912,105.956,,,,,,,,
28341,A,xx,0.6912600000000002,21.1912,109.809,,,,,,,,
28809,A,xx,0.69083,25.0442,105.956,,,,,,,,
28821,A,xx,-0.18184999999999985,25.0442,109.809,,,,,,,,
29289,A,xx,-0.18269000000000002,28.8971,105.956,,,,,,,,
29301,A,xx,0.6936599999999999,28.8971,109.809,,,,,,,,
29769,A,xx,0.6945100000000002,32.7501,105.956,,,,,,,,
29781,A,xx,-0.1755,32.7501,109.809,,,,,,,,
30249,A,xx,-0.17571000000000003,36.603,105.956,,,,,,,,
30261,A,xx,0.7017199999999999,36.603,109.809,,,,,,,,
28353,A,xx,-0.18040999999999974,21.1912,113.662,,,,,,,,
28833,A,xx,0.69333,25.0442,113.662,,,,,,,,
29313,A,xx,-0.17669999999999986,28.8971,113.662,,,,,,,,
29793,A,xx,0.7000899999999999,32.7501,113.662,,,,,,,,
30273,A,xx,-0.16578999999999988,36.603,113.662,,,,,,,,
28365,A,xx,0.6964600000000001,21.1912,117.515,,,,,,,,
28845,A,xx,-0.1806000000000001,25.0442,117.515,,,,,,,,
29325,A,xx,0.6997300000000002,28.8971,117.515,,,,,,,,
29805,A,xx,-0.16799000000000008,32.7501,117.515,,,,,,,,
30285,A,xx,0.7107600000000001,36.603,117.515,,,,,,,,
28377,A,xx,-0.1856399999999998,21.1912,121.368,,,,,,,,
28857,A,xx,0.69496,25.0442,121.368,,,,,,,,
29337,A,xx,-0.17887999999999993,28.8971,121.368,,,,,,,,
29817,A,xx,0.70303,32.7501,121.368,,,,,,,,
30297,A,xx,-0.16114999999999968,36.603,121.368,,,,,,,,
28389,A,xx,0.7081,21.1912,125.221,,,,,,,,
28401,A,xx,-0.31637000000000004,21.1912,129.074,,,,,,,,
28869,A,xx,-0.20154000000000005,25.0442,125.221,,,,,,,,
28881,A,xx,0.34135000000000026,25.0442,129.074,,,,,,,,
29349,A,xx,0.71217,28.8971,125.221,,,,,,,,
